test_id,zip_file,expected_count,matched_count,missed_count,actual_unique_findings,false_positive_count,duplicate_count,rag_relevant_count,rag_irrelevant_count,analysis_ms,groq_calls,ai_candidates,grounding_rejected,final_unique_findings,project_health,verdict,notes
1,py_001_hardcoded_secret.zip,1,1,0,3,1,0,1,5,2547.0,4,3,not exposed by pipeline (0 apparent: candidates==accepted),3,85.5,PARTIAL,"Deterministic hardcoded_secret regex (_RE_SECRET) DOES match 'API_KEY = ""demo-secret-key-123""', but the _is_comment_or_non_secret_context guard in services/analyzers/rules.py (radius=180 chars, spans this whole 4-line file) sees the unrelated word 'example' in the same file's 'https://example.invalid' placeholder URL and incorrectly treats the entire file as a non-secret/example context, suppressing the deterministic finding. Confirmed by direct regex test against the exact fixture source. AI quality review independently caught the theme, so the miss did not propagate to the health score. RAG guidance for this test is mostly generic-category fallback noise (5/6 irrelevant citations)."
2,py_002_eval_untrusted_input.zip,1,1,0,1,0,0,1,0,2532.0,2,1,"n/a (0 accepted, candidate deduped against deterministic finding, not grounding-rejected)",1,84.4,PASS,"Clean exact-rule match: deterministic dangerous_eval fired correctly, AI candidate correctly deduped rather than surfacing a duplicate, and its citedStandards used the exact RULE_TO_STANDARD mapping (SEC-03) instead of the generic category fallback -- fully relevant guidance. No false positives, no duplicates, no misleading score."
3,py_003_sql_injection.zip,1,1,0,1,0,0,1,1,2672.0,2,1,0 apparent,1,86.7,PARTIAL,"Deterministic sql_concat regex (_RE_SQL_CONCAT) structurally cannot match this exact idiom: its f-string/brace alternative requires '{' to appear before any quote character, but the classic quoted-placeholder SQL pattern f""...WHERE name = '{name}'"" puts a single-quote (the SQL string-literal delimiter) before the '{'. Verified by direct regex test against this fixture's source -- no match. AI quality review correctly caught the theme instead. citedStandards fell to the generic security-category fallback (SEC-01, SEC-02) since finding.rule='ai_quality_security' is not in RULE_TO_STANDARD; SEC-02 happens to be topically correct by coincidence, SEC-01 is not."
4,py_004_shell_injection.zip,1,1,0,2,0,1,1,2,1984.0,3,1,0 apparent,2,83.3,PARTIAL,"Theme correctly matched by both detectors, but they describe the identical root cause (unsanitized host -> shell=True) one line apart and are NOT deduplicated: services/project_review.py's _dedupe_against_deterministic only drops an AI finding that shares the EXACT SAME line as a deterministic one (line 4 vs line 3 here), unlike the paste-review path's dedupe_ai_findings which uses a +/-2 line window and identifier/theme overlap. Both findings report severity=high; oracle expected critical (minor calibration gap, not scored as a miss since the theme itself is correctly identified). RAG for the AI-sourced duplicate is generic-fallback noise."
5,py_005_path_traversal.zip,1,1,0,1,0,0,0,2,2266.0,2,1,0 apparent,1,86.7,PARTIAL,"SAGE's deterministic rule set (services/analyzers/rules.py RULE_METADATA) has NO generic path-traversal rule at all (only unsafe_archive_extract for zip-slip); this theme relies entirely on the AI layer, which caught it correctly and well-grounded here. citedStandards is 100% generic-category fallback (SEC-01/SEC-02, neither relevant) because there is also no path-traversal entry in the STANDARDS table (services/standards.py) -- so even a hypothetical exact-rule match would have nowhere correct to point."
6,py_006_ssrf.zip,1,0,1,1,0,0,0,2,2047.0,2,1,0 apparent,1,90.6,FAIL,"Source is `def preview(url): requests.get(url, timeout=4)` -- an unvalidated caller-supplied URL fetched directly, textbook SSRF, identical in shape to py_018's requests.get(url, timeout=5) which SAGE DID correctly label SSRF. Here the AI quality review produced only one unrelated low-severity reliability nit (missing try/except) and never mentioned SSRF/untrusted destination/URL validation at all -- a genuine miss of the seeded theme, not a grounding or categorization dispute. Deterministic ssrf_untrusted_url regex also does not fire (it only matches requests.get(request.args/json...) as the literal first argument, not a plain function parameter named url), so nothing else backstops the miss. This is direct evidence of inconsistent AI detection on near-identical vulnerable code shapes across fixtures. Negative assertion (timeout=4 present) correctly not violated."
7,py_007_unsafe_yaml.zip,1,1,0,2,0,1,1,2,2265.0,3,1,0 apparent,2,84.4,PARTIAL,Same duplicate pattern as py_004: deterministic and AI findings describe the identical yaml.load(Loader=yaml.Loader) call one line apart and are not merged by _dedupe_against_deterministic (exact-line-only match). Theme correctly and strongly matched.
8,py_008_unsafe_pickle.zip,1,1,0,2,0,1,1,2,2219.0,3,1,0 apparent,2,83.3,PARTIAL,"Same deterministic+AI duplicate pattern already seen in py_004/py_007 (one line apart, not deduplicated). Theme correctly matched; oracle expected severity=critical vs SAGE's high (minor calibration gap)."
9,py_009_jwt_signature_disabled.zip,1,1,0,1,0,0,0,2,2140.0,2,1,0 apparent,1,87.8,PARTIAL,"No deterministic rule exists for JWT signature bypass, relies entirely on AI (which caught it well, exact evidence). No JWT-specific standard exists in the STANDARDS table either, so citedStandards falls to the generic security pair regardless of detection method -- 0/2 relevant."
10,py_010_jwt_fallback_secret.zip,1,1,0,2,0,0,1,3,2468.0,3,2,0 apparent,2,88.7,PARTIAL,"Seeded theme matched precisely; a second, distinct, legitimate extra finding (missing JWT exp claim) is not a duplicate (different root cause) and not a false positive. RAG coincidentally correct for finding 0 (SEC-01 genuinely fits a hardcoded-fallback-secret finding) but generic/irrelevant everywhere else."
11,py_011_missing_admin_auth.zip,1,1,0,1,0,0,0,2,2797.0,2,1,0 apparent,1,87.0,PARTIAL,"No deterministic authorization-check rule exists; theme caught cleanly by AI with exact route evidence. No missing-authorization standard exists in STANDARDS either (closest conceptually would be an AuthZ-specific entry, absent) -- generic security fallback, 0/2 relevant."
12,py_012_idor_object_access.zip,1,1,0,1,0,0,0,2,2422.0,2,1,0 apparent,1,88.4,PARTIAL,"No deterministic ownership/IDOR rule exists; theme caught cleanly by AI, exact grounding on the ownership-check gap. No IDOR-specific standard in STANDARDS -- generic security fallback, 0/2 relevant."
13,py_013_wildcard_cors.zip,1,1,0,2,0,1,0,4,2234.0,3,1,0 apparent,2,86.8,PARTIAL,"Confirms the RULE_TO_STANDARD map covers only 11 of the ~29 deterministic rule ids: permissive_cors is a deterministic rule but not in that map, so even this non-AI finding gets the generic security fallback rather than a CORS-specific standard (none exists in STANDARDS at all). Same one-line-apart duplicate pattern as py_004/007/008."
14,py_014_open_redirect.zip,1,1,0,1,0,0,0,2,1859.0,2,1,0 apparent,1,87.0,PARTIAL,"The deterministic unsafe_redirect rule exists but only matches Flask's redirect(request.args/form/json...) shape; this fixture uses FastAPI's RedirectResponse(next_url) (a plain parameter, not a request-object attribute), a different framework/shape the regex doesn't cover -- a real, narrow coverage gap. AI caught the theme correctly and precisely. unsafe_redirect also has no STANDARDS entry, so even a hypothetical exact-rule hit would still fall to the generic fallback -- 0/2 relevant here regardless."
